session_pitch_id,releaseHeight,horizontalBreak,spinClockTiltHour,date,szx,szy,selected,verticalBreak,_hour,videoPointerID,speed,no,pitchType,_minute,spinConfidence,spinEfficiency,releaseSide,trueSpin,_month,_milisecond,strike,_day,truespin,_year,pitch_id,spin,launchAngle,_second,spinAxis,releaseExtension,rifleSpin,gyroDegree,mode,_id,spinClockTiltMinute,horizontalAngle,memo,session_pitch_id
59,4.930951090172211,0,10,2019-10-02 00:00:00,-15.5,21.2,False,0,14,,68.8,34,4,47,0,0,-2.4451873396746904,0,10,0,N,2,0,2019,1570027655,0,1.844816,35,0,-,833.9467,90.0,1,101637,36,0.3,,59
60,4.861616870906718,0,8,2019-10-02 00:00:00,-39.7,21.1,False,0,14,,69.1,35,4,47,0,0,-2.54293373089938,0,10,0,N,2,0,2019,1570027622,0,2.32996082,2,0,-,147.4679,90.0,1,101637,8,-1.9,,60
61,4.931339049490386,13.6,8,2019-10-02 00:00:00,-13.6,10.7,False,-6,14,,68.5,36,4,46,0.911613762,65.5,-2.42416765460337,1486,10,0,N,2,1486,2019,1570027572,2271,1.00847971,12,03h:46m,-,-1716.5592,-49.1,1,101637,14,0.2,,61
62,5.001167625712012,0,0,2019-10-02 00:00:00,-26.5,19.8,False,0,14,,68.2,37,4,45,0,0,-2.6546440329064502,0,10,0,N,2,0,2019,1570027536,0,1.78132308,36,0,-,1226.645,90.0,1,101637,34,-1.1,,62
63,5.052763590357366,10.2,8,2019-10-02 00:00:00,-5.7,18.5,False,-4.3,14,,69.2,38,4,45,0.918322861,47.4,-2.4980218673140535,1045,10,0,Y,2,1045,2019,1570027520,2204,1.92399585,20,03h:44m,-,-1940.51257,-61.7,1,101637,16,1.0,,63
64,4.957484128270284,10.4,8,2019-10-02 00:00:00,-5.7,23.5,False,-4.7,14,,69.6,39,4,44,0.8878464,48.9,-2.3136525625718702,1070,10,0,Y,2,1070,2019,1570027497,2189,1.84185731,57,03h:48m,-,-1909.40967,-60.7,1,101637,12,0.7,,64
65,5.024158045694463,0,8,2019-10-02 00:00:00,-20,43.9,False,0,14,,69.1,40,4,44,0,0,-2.40374836323375,0,10,0,N,2,0,2019,1570027482,0,2.75156355,42,0,-,-1632.07239,-90.0,1,101637,36,-1.6,,65
66,5.0933267793954,-15.6,1,2019-10-02 00:00:00,-12.1,36.3,False,10.6,14,,79.5,41,5,44,0.8218743,95.7,-2.4051946722910666,1866,10,0,N,2,1866,2019,1570027451,1949,0.770700157,11,10h:10m,-,-563.099548,-16.8,1,101637,50,3.5,,66
67,5.121894003848271,0,11,2019-10-02 00:00:00,-8.9,16.1,False,0,14,,79.6,42,0,43,0,0,-2.4713116835464204,0,10,0,Y,2,0,2019,1570027434,0,-0.661277831,54,0,-,1641.66333,90.0,1,101637,10,3.9,,67
68,5.155905814923591,0,0,2019-10-02 00:00:00,24.3,17,False,0,14,,78.3,43,0,43,0,0,-2.28792454416006,0,10,0,N,2,0,2019,1570027415,0,-1.11815917,35,0,-,-750.6616,-90.0,1,101637,58,6.1,,68
69,5.267705979135522,-13.7,1,2019-10-02 00:00:00,-7.3,21.8,False,10.7,14,,79.6,44,0,43,0.9608612,84.5,-2.42532644725605,1850,10,0,Y,2,1850,2019,1570027401,2189,-0.873840749,21,10h:20m,-,-1170.462,-32.3,1,101637,40,3.2,,69
70,5.456393020104741,-16.1,1,2019-10-02 00:00:00,-10.4,31.6,False,11.5,14,,78.5,45,0,43,0.8837998,97.9,-2.26489337614605,1972,10,0,Y,2,1972,2019,1570027387,2014,0.33142367,7,10h:12m,-,-407.481232,-11.7,1,101637,48,3.1,,70
71,5.218029568298859,-13.1,1,2019-10-02 00:00:00,-14.2,45.7,False,13.7,14,,79.9,46,0,42,0.776763558,96.2,-2.2812598459871998,1939,10,0,N,2,1939,2019,1570027371,2015,1.894317,51,10h:32m,-,-549.290161,-15.8,1,101637,28,2.9,,71
72,5.27169488990274,-14.2,1,2019-09-25 00:00:00,5.9,45.8,False,10.4,18,,81.8,47,0,58,0.834787667,86.7,-2.057796390923126,1891,9,0,N,25,1891,2019,1569437928,2179,0.546099663,48,10h:14m,-,-1084.24036,-29.8,1,101637,46,4.4,,72
73,5.2830839975316,-9.6,2,2019-09-25 00:00:00,-14.8,21.1,False,4,18,,72.6,48,6,58,0.8484773,78.4,-2.05093471440351,663,9,0,N,25,663,2019,1569437912,846,1.11246693,32,09h:46m,-,-524.7694,-38.4,1,101637,14,2.0,,73
74,5.128134915931248,0,11,2019-09-25 00:00:00,-42.3,17.8,False,0,18,,73.5,49,6,58,0,0,-2.11255020006147,0,9,0,N,25,0,2019,1569437891,0,0.7269536,11,0,-,-231.905853,-90.0,1,101637,30,-0.7,,74
75,5.0662688725301255,0,2,2019-09-25 00:00:00,-21.2,-3.7,False,0,18,,73.2,50,6,57,0,0,-2.044720327911125,0,9,0,N,25,0,2019,1569437874,0,-0.134163082,54,0,-,-321.0209,-90.0,1,101637,24,0.8,,75
76,4.864258800044592,10.2,8,2019-09-25 00:00:00,9.1,8.9,False,-5.9,18,,71.5,51,4,57,0.8017187,51.2,-2.1972956070144303,1160,9,0,N,25,1160,2019,1569437847,2264,0.860275447,27,03h:54m,-,-1944.048,-59.2,1,101637,6,1.4,,76
77,5.175001582669152,-13.8,1,2019-09-25 00:00:00,7,36.5,False,14.8,18,,81.7,52,0,56,0.876411259,96.9,-2.18793569886372,2176,9,0,Y,25,2176,2019,1569437817,2244,-0.516074836,57,10h:36m,-,-550.364,-14.2,1,101637,24,4.3,,77
78,4.974877041682548,0,8,2019-09-25 00:00:00,-24.2,25.9,False,0,18,,68.3,53,0,56,0,0,-2.2152019325009653,0,9,0,N,25,0,2019,1569437797,0,2.79021144,37,0,-,-1697.31848,-90.0,1,101637,16,-1.7,,78
79,4.990964049581016,0,1,2019-09-25 00:00:00,-3.6,27.9,False,0,18,,82.5,54,0,56,0,0,-2.3251930350303565,0,9,0,Y,25,0,2019,1569437775,0,-1.56150591,15,0,-,-814.5727,-90.0,1,101637,40,3.6,,79
80,5.166468807065631,-16.2,1,2019-09-25 00:00:00,11.3,3.7,False,10.7,18,,79.8,55,0,55,0.8646722,96.7,-2.0498397176826857,1929,9,0,N,25,1929,2019,1569437757,1995,-2.97964263,57,10h:10m,-,-510.69577,-14.8,1,101637,50,4.8,,80
81,5.639001452140836,-10.5,2,2019-09-25 00:00:00,-0.1,29.2,False,4.2,18,,69.9,56,6,55,0.7724984,83.1,-1.7742114528280348,662,9,0,Y,25,662,2019,1569437736,797,0.19105269,36,09h:46m,-,-443.607635,-33.8,1,101637,14,2.3,,81
